Date,Close,Open,High,Low,Volume,Change(%)
2004-08-20,54.2,50.8,54.6,50.3,11430000.0,7.95
2004-08-23,54.8,55.4,56.8,54.6,9140000.0,1.0
2004-08-24,52.5,55.7,55.8,51.8,7630000.0,-4.13
2004-08-25,53.0,52.5,54.0,52.0,4600000.0,1.07
2004-08-26,54.0,52.5,54.0,52.4,3550000.0,1.81
2004-08-27,53.1,54.1,54.4,52.9,3110000.0,-1.63
2004-08-30,51.0,52.8,52.8,51.0,2600000.0,-3.91
2004-08-31,51.2,51.2,51.9,51.1,2460000.0,0.35
2004-09-01,50.2,51.4,51.5,49.9,4570000.0,-2.07
2004-09-02,50.8,49.6,51.2,49.5,7570000.0,1.26
2004-09-03,50.0,50.5,50.9,49.7,2580000.0,-1.48
2004-09-07,50.8,50.5,51.0,49.8,2930000.0,1.58
2004-09-08,51.2,50.4,51.6,50.3,2500000.0,0.71
2004-09-09,51.2,51.3,51.4,50.5,2029999.9999999998,0.0
2004-09-10,52.7,50.8,53.3,50.7,4350000.0,2.97
2004-09-13,53.8,53.4,54.3,53.3,3930000.0,2.05
2004-09-14,55.8,53.8,56.0,53.5,5490000.0,3.72
2004-09-15,56.0,55.3,57.2,55.2,5360000.0,0.45
2004-09-16,57.0,56.2,58.0,55.9,4640000.0,1.77
2004-09-17,58.8,57.3,58.8,56.8,4750000.0,3.09
2004-09-20,59.7,58.5,60.9,58.4,5330000.0,1.6
2004-09-21,59.0,60.2,60.3,58.8,3620000.0,-1.27
2004-09-22,59.3,58.8,59.9,58.5,3790000.0,0.46
2004-09-23,60.5,59.5,61.4,58.6,4270000.0,2.06
2004-09-24,60.0,60.5,62.1,59.9,4570000.0,-0.83
2004-09-27,59.2,59.8,60.5,59.0,3540000.0,-1.3
2004-09-28,63.5,60.6,63.8,60.2,8480000.0,7.26
2004-09-29,65.6,63.4,67.6,63.2,15270000.0,3.32
2004-09-30,64.9,65.0,66.2,64.6,6890000.0,-1.13
2004-10-01,66.3,65.5,67.2,64.5,7570000.0,2.3
2004-10-04,67.6,68.0,68.5,67.1,6540000.0,1.88
2004-10-05,69.3,67.4,69.3,66.2,7510000.0,2.44
